ID,Point Code,Layer Number,Starting Depth (mm),Ending Depth (mm),Hue,Texture,Value,Chroma
220,LOYOLA 58,1,9999999,9999999,10 YR,Silty Loam,2,1
221,LOYOLA 60,1,9999999,9999999,10 YR,Silty Clay,3,2
222,LOYOLA 64,1,9999999,9999999,9999999,9999999,9999999,9999999
223,SETON 2,1,9999999,9999999,10 YR,Silty Clay Loam,3,2
224,SETON 6,1,9999999,9999999,10 YR,Silty Clay,3,2
225,SETON 9,1,9999999,9999999,10 YR,Silty Clay Loam,3,3
226,SETON 13,1,9999999,9999999,10 YR,Silty Loam,3,3
227,SETON 15,1,9999999,9999999,10 YR,Silty Clay,3,2
228,SETON 17,1,9999999,9999999,10 YR,Silty Loam,3,3
229,SETON 20,1,9999999,9999999,10 YR,Sandy Clay Loam,3,3
230,SETON 23,1,9999999,9999999,10 YR,Sandy Clay Loam,3,3
231,SETON 26,1,9999999,9999999,10 YR,Sandy Clay Loam,3,4
232,SETON 29,1,9999999,9999999,10 YR,Sandy Loam,2,2
233,GS 2,1,9999999,9999999,10 YR,Sandy Loam,3,3
234,GS 5,1,9999999,9999999,10 YR,Silty Clay Loam,4,3
235,GS 8,1,9999999,9999999,10 YR,Sandy Loam,3,2
236,GS 10,1,9999999,9999999,10 YR,Silty Clay Loam,3,2
237,GS 14,1,9999999,9999999,10 YR,Silty Clay,4,2
238,GS 18,1,9999999,9999999,10 YR,Sandy Loam,4,2
239,GS 21,1,9999999,9999999,7.5 YR,Sandy Loam,2.5,3
240,GS 26,1,9999999,9999999,10 YR,Silty Loam,3,2
241,GS 28,1,9999999,9999999,10 YR,Sandy Clay Loam,4,2
242,GS 31,1,9999999,9999999,9999999,9999999,9999999,9999999
243,SINAI 4,1,9999999,9999999,10 YR,Silty Clay Loam,3,2
244,SINAI 7,1,9999999,9999999,10 YR,Silty Loam,3,1
245,SINAI 9,1,9999999,9999999,10 YR,Silty Loam,4,1
246,SINAI 13,1,9999999,9999999,10 YR,Clay Loam,3,2
247,SINAI 16,1,9999999,9999999,7.5 YR,Silty Clay,2.5,1
248,SINAI 19,1,9999999,9999999,10 YR,Silty Clay Loam,3,2
249,SINAI 23,1,9999999,9999999,10 YR,Silty Loam,3,2
250,SINAI 26,1,9999999,9999999,10 YR,Sandy Clay Loam,3,3
251,SINAI 27,1,9999999,9999999,10 YR,Silty Loam,2,1
252,SINAI 31,1,9999999,9999999,10 YR,Silty Loam,2,2
253,SINAI 34,1,9999999,9999999,10 YR,Silty Loam,2,2
254,MDSB 2,1,9999999,9999999,10 YR,Silty Clay,3,3
255,MDSB 3,1,9999999,9999999,10 YR,Loam,2,2
256,MDSB 4,1,9999999,9999999,10 YR,Silty Loam,3,3
257,MDSB 5,1,9999999,9999999,10 YR,Loam,3,4
258,MDSB 6,1,9999999,9999999,10 YR,Clay Loam,3,3
259,MDSB 7,1,9999999,9999999,10 YR,Silty Loam,2,1
260,MDSB 9,1,9999999,9999999,10 YR,Silty Clay,2,2
261,MDSB 10,1,9999999,9999999,10 YR,Silty Clay,2,1
