635,11,LITU,0,AH 17,0
636,12,LITU,3,AH 17,0
637,13,Dead,0,AH 17,0
638,14,ACSA2,5,AH 17,0
639,15,PATO2,4,AH 17,0
640,16,PATO2,5,AH 17,0
641,17,ACRU,2,AH 17,0
642,18,VIPR,0,AH 17,0
643,1,QURU,0,AH 2,0
644,2,LITU,0,AH 2,0
645,3,LITU,0,AH 2,0
646,4,LITU,0,AH 2,0
647,5,CACA18,0,AH 2,0
648,6,CACA18,3,AH 2,0
649,7,CAGL8,0,AH 2,0
650,8,CAGL8,2,AH 2,0
651,9,Dead,0,AH 2,0
652,10,Dead,4,AH 2,0
653,11,FAGR,0,AH 2,0
654,12,QUVE,2,AH 2,0
655,1,CAGL8,3,AH 3,0
656,2,LITU,0,AH 3,0
657,3,LITU,0,AH 3,0
658,4,LITU,0,AH 3,0
659,5,LITU,0,AH 3,0
660,6,QUPA2,0,AH 3,0
661,7,ACRU,0,AH 3,0
662,8,ACRU,0,AH 3,0
663,9,ACRU,2,AH 3,0
664,10,FRPE,2,AH 3,0
665,11,FRPE,4,AH 3,0
666,12,Dead,2,AH 3,0
667,13,NYSY,3,AH 3,0
668,1,QUPA2,0,AH 4,0
669,2,QUPA2,0,AH 4,0
670,3,QUPA2,0,AH 4,0
671,4,QUPA2,0,AH 4,0
672,5,QUPA2,3,AH 4,0
673,6,QUPA2,3,AH 4,0
674,7,ACRU,0,AH 4,0
675,8,ACRU,0,AH 4,0
176,1,SAAL5,0,JH 4,0
177,2,SAAL5,2,JH 4,0
178,3,PRSE2,5,JH 4,0
179,4,PRSE2,2,JH 4,0
180,5,PRSE2,3,JH 4,0
181,6,PRSE2,1,JH 4,0
182,7,PRSE2,4,JH 4,0
183,8,JUCI,2,JH 4,0
186,1,LOMA6,0,JH 1,0
187,2,LOMA6,0,JH 1,0
188,3,LOMA6,0,JH 1,0
189,4,LOMA6,0,JH 1,0
190,5,LOMA6,0,JH 1,0
191,6,LOMA6,0,JH 1,0
192,7,LOMA6,0,JH 1,0
193,8,LOMA6,0,JH 1,0
194,9,LOMA6,0,JH 1,0
195,10,LOMA6,0,JH 1,0
196,11,LOMA6,0,JH 1,0
197,12,LOMA6,1,JH 1,0
198,13,LOMA6,0,JH 1,0
199,14,MORU2,1,JH 1,0
200,15,ROPS,0,JH 1,0
201,16,ROPS,0,JH 1,0
202,17,ROPS,0,JH 1,0
203,18,ROPS,0,JH 1,0
204,19,ROPS,0,JH 1,0
205,20,PRSE2,1,JH 1,0
206,21,JUCI,1,JH 1,0
207,1,ROPS,2,JH 3,0
208,2,ROPS,4,JH 3,0
209,3,ACNE2,4,JH 3,0
210,4,ACNE2,2,JH 3,0
211,5,LOMA6,0,JH 3,0
212,6,LOMA6,0,JH 3,0
213,7,LOMA6,0,JH 3,0
214,8,LOMA6,0,JH 3,0
215,9,LOMA6,0,JH 3,0
216,10,LOMA6,0,JH 3,0
217,11,LOMA6,0,JH 3,0
218,12,LOMA6,0,JH 3,0
219,13,MAPO,1,JH 3,0
220,14,MAPO,2,JH 3,0
221,1,ACNE2,1,JH 5,0
222,2,ACNE2,0,JH 5,0
223,3,ACRU,1,JH 5,0
224,4,LITU,1,JH 5,0
225,1,MORU2,1,JH 6,0
226,2,MORU2,1,JH 6,0
227,3,MORU2,0,JH 6,0
228,4,MORU2,1,JH 6,0
229,5,MORU2,2,JH 6,0
230,6,MORU2,1,JH 6,0
231,7,MORU2,2,JH 6,0
232,8,ACNE2,4,JH 6,0
233,9,ACNE2,1,JH 6,0
234,10,ACNE2,4,JH 6,1
235,1,SAAL5,0,JH 7,0
236,2,SAAL5,0,JH 7,0
237,3,SAAL5,0,JH 7,0
238,4,SAAL5,2,JH 7,0
239,5,SAAL5,2,JH 7,0
240,6,SAAL5,0,JH 7,0
241,7,SAAL5,0,JH 7,0
242,8,SAAL5,0,JH 7,0
243,9,SAAL5,0,JH 7,0
244,10,SAAL5,0,JH 7,0
245,11,SAAL5,0,JH 7,0
246,12,SAAL5,0,JH 7,0
247,13,SAAL5,1,JH 7,0
248,14,SAAL5,0,JH 7,0
249,15,SAAL5,0,JH 7,0
250,16,SAAL5,0,JH 7,0
251,17,SAAL5,0,JH 7,0
252,18,SAAL5,0,JH 7,0
253,19,Dead,0,JH 7,0
254,1,SAAL5,1,JH 8,0
255,2,SAAL5,1,JH 8,0
256,3,SAAL5,2,JH 8,0
257,4,SAAL5,2,JH 8,0
258,5,SAAL5,0,JH 8,0
259,6,SAAL5,0,JH 8,0
260,7,SAAL5,0,JH 8,0
261,8,SAAL5,1,JH 8,0
262,9,SAAL5,1,JH 8,0
263,10,SAAL5,1,JH 8,0
264,11,ULAM,1,JH 8,0
265,12,JUCI,1,JH 8,0
266,1,ACRU,4,JH 9,1
267,2,AIAL,4,JH 9,1
268,3,ACNE2,4,JH 9,1
269,4,MORU2,0,JH 9,0
270,1,JUCI,2,JH 10,0
271,2,JUCI,3,JH 10,0
272,3,JUCI,2,JH 10,0
273,4,JUCI,0,JH 10,0
274,5,PRSE2,2,JH 10,0
275,6,Dead,5,JH 10,0
276,1,PRSE2,1,JH 11,0
277,2,PRSE2,4,JH 11,1
278,3,PRSE2,2,JH 11,0
279,4,PRSE2,2,JH 11,0
280,5,ACRU,1,JH 11,0
281,6,SAAL5,1,JH 11,0
282,7,SAAL5,2,JH 11,0
283,8,SAAL5,2,JH 11,0
284,9,SAAL5,1,JH 11,0
285,10,SAAL5,2,JH 11,0
286,11,SAAL5,0,JH 11,0
287,12,SAAL5,0,JH 11,0
288,13,SAAL5,1,JH 11,0
289,14,Dead,0,JH 11,0
290,1,PRSE2,1,JH 12,0
291,2,LITU,1,JH 12,0
292,3,LITU,1,JH 12,0
293,4,Dead,2,JH 12,0
294,1,PATO2,1,JH 13,0
295,2,SAAL5,1,JH 13,0
296,3,AIAL,3,JH 13,0
297,4,ACNE2,4,JH 13,0
298,5,MAPO,5,JH 13,0
299,6,JUCI,4,JH 13,0
300,7,LOMA6,1,JH 13,0
301,1,LITU,0,JH 14,0
302,2,LITU,3,JH 14,0
303,3,LITU,1,JH 14,0
304,4,LITU,4,JH 14,0
305,5,ULAM,3,JH 14,0
306,6,ULAM,1,JH 14,0
307,7,ACRU,3,JH 14,0
308,8,PRSE2,0,JH 14,0
309,9,PRSE2,2,JH 14,0
310,10,JUCI,1,JH 14,0
311,11,THOR,2,JH 14,0
312,1,ROPS,2,JH 15,0
313,2,PRSE2,0,JH 15,0
314,3,PRSE2,1,JH 15,0
315,4,AIAL,5,JH 15,0
316,5,LITU,1,JH 15,0
317,6,LITU,3,JH 15,0
318,7,ULRU,2,JH 15,0
319,8,SAAL5,0,JH 15,0
320,9,SAAL5,1,JH 15,0
321,10,SAAL5,1,JH 15,0
322,11,SAAL5,1,JH 15,0
323,12,SAAL5,1,JH 15,0
324,13,SAAL5,1,JH 15,0
676,9,ACRU,2,AH 4,0
677,10,ACRU,3,AH 4,0
678,11,LITU,0,AH 4,0
679,12,LITU,0,AH 4,0
680,13,LITU,0,AH 4,0
681,14,Dead,0,AH 4,0
682,15,QUMO4,0,AH 4,0
683,1,LITU,0,AH 5,0
684,2,ACRU,0,AH 5,0
