"1224","IMCA","65","GILMAN 8",
"1225","HEHE","70","GILMAN 21",
"1226","AMBR7","80","GILMAN 24",
"1227","AMBR7","85","GILMAN 23",
"1228","AMBR7","95","GILMAN 13",
"1229","AMBR7","95","GILMAN 19",
"1230","AMBR7","99","GILMAN 18",
"1231","AMBR7","100","GILMAN 17",
"1232","HEHE","1","GILMAN 1","yes"
"1233","SMILA2","1","GILMAN 1","yes"
"1234","ROMU","1","GILMAN 1","yes"
"1235","POLYG2","1","GILMAN 10","yes"
"1236","NYSY","1","GILMAN 10","yes"
"1237","LONIC","1","GILMAN 15","yes"
"1238","AMBR7","1","GILMAN 15","yes"
"1239","FRAGA","1","GILMAN 15","yes"
"1240","HEHE","1","GILMAN 5","yes"
"1785","CHAL7","1","GS 1",
"1786","TORA2","1","GS 12",
"1787","HEHE","1","GS 15",
"1788","TORA2","1","GS 4",
"1789","CLEMA","1","GS 8",
"1790","RUBUS","1","GS 9",
"1791","ARVU","2","GS 12",
"1792","LOJA","2","GS 16",
"1793","NYSY","2","GS 22",
"1794","ARVU","2","GS 25",
"1795","HEHE","2","GS 31",
"1796","ACRU","2","GS 4",
"1797","LOJA","2","GS 4",
"1798","PHPR3","3","GS 1",
"1799","RUBUS","3","GS 10",
"1800","LECU","3","GS 12",
"1801","PRSE2","3","GS 13",
"1802","Grass","3","GS 25",
"1803","HEHE","3","GS 26",
"1804","SMILA2","3","GS 27",
"1805","AMBR7","3","GS 4",
"1806","LOJA","3","GS 8",
"1807","AMBR7","3","GS 9",
"1808","PHAM4","4","GS 16",
"1809","LOJA","4","GS 9",
"1810","LOJA","5","GS 1",
"1811","SOLID","5","GS 12",
"1812","LOJA","5","GS 15",
"1813","PRSE2","5","GS 17",
"1814","HEHE","5","GS 17",
"1815","ROMU","5","GS 2",
"1816","APCA","5","GS 28",
"1817","AIAL","5","GS 28",
"1818","CEOR7","5","GS 28",
"1819","SOLID","5","GS 31",
"1820","HEHE","5","GS 5",
"1821","RUBUS","5","GS 5",
"1822","HEHE","5","GS 7",
"1823","LOJA ","5","GS 7",
"1824","LOJA","6","GS 23",
"1825","CLEMA","7","GS 12",
"1826","HEHE","7","GS 23",
"1827","TORA2","7","GS 23",
"1828","ULRU","7","GS 29",
"1829","TORA2","7","GS 30",
"1830","LOJA","10","GS 21",
"1831","TORA2","10","GS 29",
"1832","PAQU2","10","GS 30",
"1833","QURU","10","GS 7",
"1834","LOJA","12","GS 18",
"1835","TORA2 ","13","GS 31",
"1836","FRPE","15","GS 14",
"1837","ROMU","15","GS 21",
"1838","HEHE","15","GS 21",
"1839","TORA2 ","15","GS 22",
"1840","AMBR7","20","GS 14",
"1841","LOJA","20","GS 14",
