"762","3","55","MDSB 16"
"763","4","60","MDSB 16"
"764","5","55","MDSB 16"
"765","1","100","MDSB 19"
"766","2","100","MDSB 19"
"767","3","150","MDSB 19"
"768","4","100","MDSB 19"
"769","5","50","MDSB 19"
"770","1","75","MDSB 2"
"771","2","75","MDSB 2"
"772","3","75","MDSB 2"
"773","4","100","MDSB 2"
"774","5","125","MDSB 2"
"775","1","50","MDSB 22"
"776","2","100","MDSB 22"
"777","3","50","MDSB 22"
"778","4","75","MDSB 22"
"779","5","50","MDSB 22"
"780","1","90","MDSB 25"
"781","2","125","MDSB 25"
"782","3","110","MDSB 25"
"783","4","125","MDSB 25"
"784","5","110","MDSB 25"
"785","1","100","MDSB 28"
"786","2","100","MDSB 28"
"787","3","125","MDSB 28"
"788","4","125","MDSB 28"
"789","5","130","MDSB 28"
"790","1","80","MDSB 3"
"791","2","90","MDSB 3"
"792","3","80","MDSB 3"
"793","4","90","MDSB 3"
"794","5","100","MDSB 3"
"795","1","90","MDSB 31"
"796","2","100","MDSB 31"
"797","3","75","MDSB 31"
"798","4","125","MDSB 31"
"799","5","75","MDSB 31"
"800","1","150","MDSB 34"
"801","2","130","MDSB 34"
"802","3","140","MDSB 34"
"803","4","100","MDSB 34"
"804","5","125","MDSB 34"
"805","1","150","MDSB 37"
"806","2","140","MDSB 37"
"807","3","150","MDSB 37"
"808","4","150","MDSB 37"
"809","5","125","MDSB 37"
"810","1","50","MDSB 4"
"811","2","50","MDSB 4"
"812","3","50","MDSB 4"
"813","4","50","MDSB 4"
"814","5","75","MDSB 4"
"815","1","125","MDSB 40"
"816","2","150","MDSB 40"
"817","3","115","MDSB 40"
"818","4","145","MDSB 40"
"819","5","100","MDSB 40"
"820","1","140","MDSB 43"
"821","2","175","MDSB 43"
"822","3","150","MDSB 43"
"823","4","160","MDSB 43"
"824","5","150","MDSB 43"
"825","1","175","MDSB 45"
"826","2","150","MDSB 45"
"827","3","125","MDSB 45"
"828","4","120","MDSB 45"
"829","5","100","MDSB 45"
"830","1","100","MDSB 48"
"831","2","125","MDSB 48"
"832","3","90","MDSB 48"
"833","4","90","MDSB 48"
"834","5","125","MDSB 48"
"835","1","75","MDSB 5"
"836","2","60","MDSB 5"
"837","3","100","MDSB 5"
"838","4","90","MDSB 5"
"839","5","90","MDSB 5"
"840","1","40","MDSB 6"
"841","2","100","MDSB 6"
"842","3","90","MDSB 6"
"843","4","25","MDSB 6"
"844","5","60","MDSB 6"
"845","1","60","MDSB 7"
"846","2","75","MDSB 7"
"847","3","50","MDSB 7"
"848","4","50","MDSB 7"
"849","5","45","MDSB 7"
"850","1","25","MDSB 8"
"851","2","75","MDSB 8"
"852","3","150","MDSB 8"
"853","4","125","MDSB 8"
"854","5","100","MDSB 8"
"855","1","100","MDSB 9"
"856","2","100","MDSB 9"
"857","3","120","MDSB 9"
"858","4","140","MDSB 9"
"859","5","110","MDSB 9"
"860","1","100","ND 1"
"861","2","125","ND 1"
"862","3","115","ND 1"
"863","4","100","ND 1"
"864","5","100","ND 1"
